,Year,Month,Net_Revenue_USD,Profit_USD,Profit_Margin_Pct,Units_Sold,Order_ID,Logistics_Cost_USD,Marketing_Spend_USD,COGS_USD,Unit_Price_USD,Date,Margin_Pct,Logistics_Rate,COGS_Rate
21,2024,10,399160.1,96991.57,20.19554054054054,115120,518,26523.48,42027.81,233617.24,4.271505791505791,2024-10-01,24.298914144975917,6.644822465972927,58.527202493435595
22,2024,11,404944.21,90548.04,19.27499040307102,108172,521,28301.64,44683.19,241411.34,4.583819577735125,2024-11-01,22.360620985295725,6.989022018613378,59.61595055279343
23,2024,12,456863.41,110154.94,20.71588693957115,124317,513,30521.92,46138.87,270047.68,4.489922027290448,2024-12-01,24.111132033970506,6.680753882216131,59.10906281595193
24,2025,1,464740.22,110092.11,19.672444444444444,119517,540,31138.239999999998,49387.340000000004,274122.53,4.586462962962963,2025-01-01,23.68895681118368,6.700138843158443,58.98403413416641
25,2025,2,381580.46,88997.04,19.911338912133893,104386,478,25732.84,41596.52,225254.06,4.538493723849372,2025-02-01,23.323269750238257,6.743752025457487,59.031864472305514
26,2025,3,423643.42,96288.97,19.59153409090909,108153,528,28949.13,45903.64,252501.68,4.600321969696969,2025-03-01,22.728777423239574,6.833371801219054,59.60240808177784
27,2025,4,429827.38,99214.28,19.76760080645161,110081,496,29391.420000000002,46542.99,254678.69,4.709133064516129,2025-04-01,23.08235459546574,6.837958996469699,59.251388313140964
28,2025,5,454787.66,108233.85,20.00314126394052,116732,538,30429.670000000002,48295.35,267828.79,4.613513011152417,2025-05-01,23.79876578005657,6.690962107459117,58.89095363757231
29,2025,6,389038.64,87087.64,20.22595387840671,102211,477,26572.26,43307.31,232071.43,4.611299790356394,2025-06-01,22.385344550865177,6.830236708621025,59.652539912230814
30,2025,7,373404.97,86350.07,20.073918629550324,100812,467,25406.66,38911.67,222736.57,4.589421841541756,2025-07-01,23.12504571109485,6.804049769342921,59.65013534768967
31,2025,8,454648.33,104591.23,20.595234521575986,117391,533,30826.52,48004.8,271225.78,4.585722326454034,2025-08-01,23.004864001150075,6.780299841857991,59.65616985770079
32,2025,9,413041.17,94342.93000000001,19.722986247544203,105779,509,28060.06,45779.25,244858.93,4.7884086444007865,2025-09-01,22.841047540127782,6.793526175611017,59.28196697680283
33,2025,10,388158.81,89764.42,19.232451737451736,100714,518,26760.78,41951.22,229682.38999999998,4.591138996138996,2025-10-01,23.12569435175257,6.894286387574199,59.1722728127696
34,2025,11,352684.08,79688.56,19.38073221757322,93858,478,25190.15,41245.02,206560.35,4.603995815899582,2025-11-01,22.594884350889892,7.1424119852532035,58.568095843736415
35,2025,12,490724.29,116476.48,20.018283582089552,126088,536,32428.15,51207.81,290611.85,4.553768656716418,2025-12-01,23.73562555870222,6.608221899918589,59.221003712695776
